Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Bad Patches,The Joint Commissioner  BBMP Mahadevapura Zone \n\nWe  the residents of GR-ECC Road  and Agrahara-ECC Road  along with users of the two roads  have been put to extreme hardship due to the indiscriminate digging activities by multiple agencies.\n\nThe 2-km street from Cheshire Home to GR Tech Park via Ecumenical Christian Centre (ECC) and The Deens Academy has not been repaired for many years. In the last two months  digging by BWSSB for pipeline  and by telecom companies for OFC  has ruined the roads. During digging operations  there was no signboard displaying the contractorâ€™s name  no barricade or ribbon to warn pedestrians  cyclists  or motorists. Many vehicles have got stuck in these pits. A major mishap may happen. We see chaos every morning  worsened by the recent damage.\nECC Road Residents Forum requests BBMP to immediately regulate digging work  penalise violators  repair and asphalt the two roads. We also request you to improve the two accident-prone junctions; outside Cheshire Home and opposite ECC. The humps need to be painted  and signboards should be placed to prevent accidents. We also request you to build a footpath on one side of the road  similar to what has been done on Borewell Road. Non-working streetlights should be repaired.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,Road that connects from veerannapalya towards kingston high school is really a mess. there is no thar road here and when it rains it will be really a hell. if any pregnent women goes by auto in this road  she will deliver on the road itself for sure. I don\'t know where the money of people is going but this is really a hell.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,The road is very horrible if the rain comes means the vehicle riding is very horrible,Bad Patches,Person falling in Manhole,Minor repairs to municipal property
Shortage of water supply,In charger person is not supplying water properly to sampangiramanara area in 14 cross  4th main locality only and also bad smell of water \nmight be his personal reason he is not supplying water only to this road  request you to looking to this issue and help us get water regularly.,Shortage of water supply,Leaks in water lines,Contaminated water supply
Bad Patches,This is Thumakur and yeshwanthpuram main highway Road This road is total Demeged more accidents also...,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Unauthorised Food Selling   Preparation,In my area thr are some rough dogs even I complantned to bbmp but they r nt caring fr tat so plz take action as soon as posable.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,Due to on going construction work the junction has given way and in a bad shape. This is slowing down traffic further at a junction which is already sufferring from heavy traffic. Hasnt the contract for the Flyover include maintenance of decent roads aroud and not cause inconvienience to public. Its also giving rise to heavy dust pollution. Will our honourable ex PM intervene?,Drainage chokes and blockages,Silt to be lifted on road,Overflowing drains or manholes
Bad Patches,The route to bangalore university  gnanabarathi campus from jayamahal is very tedious. there are no simple routes. I will have to catch 3-4 buses to reach college and it is too time consuming and very few buses are available.,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Stones have been cemented on the footpath probably to prevent vehicles from being parked there. As you can make out from the photo  a pedestrian can easily trip over and fall due to this,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Unauthorised Food Selling   Preparation,There are so many dog near our locality  we cannot enter into our area late night as all the dogs together will attack us.\nIf we go in bike or car it will chase our vehile for some distance.\nPls take some neccesary action to control this.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,We have 2 stray dogs in our residential lay out which is chasing small children on daily basis.  Our address is - pentagon passiflora   dodda thimmasandra road  Sarjapura;  bangalore.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,stray dog issues around my house   we can\'t even go for a walk at night without them bothering us. The real problem is when old people want to take a walk and they start barking or chasing. My house is in M.H.R layout  sidedahalli Bangalore.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Stray dogs are a big menace in HBR layout and new strays appear monthly out of no where...,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Stray dogs in front of nandi gardens 2nd phase.Anjanapura. .near kanakapura road,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from house gully,Garbage is not getting cleared from my building since last 5 days. My apartment is Diamond Residency  Kasavanahalli  Off Sarjapur Road  Bangalore-560035,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Bad Patches,We are residents of Indiranagar 1st Stage and live very close to the newly opened pub  â€˜Three Dots and a Dashâ€™. This pub is located on the first floor and has an open terrace above that. The terrace has no soundproofing and the loud music disturbs the neighborhood.\n\nWe are writing to complain about the level of sound we are left to face almost on a daily basis. They are always playing very loud music that we can hear till late at night. Some of us have made calls to the police station at night to complain. When the police go there the music is turned down but after ten minutes the music goes up again. The music is loud on almost all evening/nights of the week and also on Sunday afternoons. We have given a written complaint to the Indiranagar police station with signatures from the people who live on the road behind where we live.\n\nAs neighbors we have gone and spoken to the owners  Vamsi  Siddharth and Raghu. We have also spoken to the operations manager Victor and another manager  Dennis. Despite these discussions and repeated requests from us to turn the music down nothing has been down about the level of sound. \n\nWe request you to please help initiate action to stop this nuisance. Most of the people affected by the sound are senior citizens who have been living here for many decades. It disturbs our sleep and peace on a regular basis.,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
